Type_Event,Region,Year,Aggregator,Disaggregator,Substance,Source,Specific_Measure,PRUID,Time_Period,Unit,Value
Accidental apparent opioid toxicity deaths,Alberta,2018,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,9.0
Accidental apparent opioid toxicity deaths,Alberta,2018,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,6.0
Accidental apparent opioid toxicity deaths,Alberta,2018,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,51.0
Accidental apparent opioid toxicity deaths,Alberta,2018,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,146.0
Accidental apparent opioid toxicity deaths,Alberta,2018,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,55.0
Accidental apparent opioid toxicity deaths,Alberta,2018,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,181.0
Accidental apparent opioid toxicity deaths,Alberta,2018,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,46.0
Accidental apparent opioid toxicity deaths,Alberta,2018,40 to 49 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,112.0
Accidental apparent opioid toxicity deaths,Alberta,2018,50 to 59 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,36.0
Accidental apparent opioid toxicity deaths,Alberta,2018,50 to 59 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,105.0
Accidental apparent opioid toxicity deaths,Alberta,2018,60 years or more,Female,Opioids,Deaths,Age group by sex,48,By year,Number,12.0
Accidental apparent opioid toxicity deaths,Alberta,2018,60 years or more,Male,Opioids,Deaths,Age group by sex,48,By year,Number,40.0
Accidental apparent opioid toxicity deaths,Alberta,2019,0 to 19 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,7.0
Accidental apparent opioid toxicity deaths,Alberta,2019,0 to 19 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,6.0
Accidental apparent opioid toxicity deaths,Alberta,2019,20 to 29 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,40.0
Accidental apparent opioid toxicity deaths,Alberta,2019,20 to 29 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,100.0
Accidental apparent opioid toxicity deaths,Alberta,2019,30 to 39 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,45.0
Accidental apparent opioid toxicity deaths,Alberta,2019,30 to 39 years,Male,Opioids,Deaths,Age group by sex,48,By year,Number,147.0
Accidental apparent opioid toxicity deaths,Alberta,2019,40 to 49 years,Female,Opioids,Deaths,Age group by sex,48,By year,Number,28.0
