,State,Year,Month,Period,State Name,Cocaine (T40.5),Heroin (T40.1),Methadone (T40.3),Natural & semi-synthetic opioids (T40.2),"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)","Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",Number of Deaths,Number of Drug Overdose Deaths,"Opioids (T40.0-T40.4,T40.6)",Percent with drugs specified,Psychostimulants with abuse potential (T43.6),"Synthetic opioids, excl. methadone (T40.4)"
0,AK,2015,April,12 month-ending,Alaska,,,,,,,"4,133",126,,88.0952381,,
1,AK,2015,August,12 month-ending,Alaska,,,,,,,"4,222",124,,87.90322581,,
2,AK,2015,December,12 month-ending,Alaska,,,,,,,"4,193",121,,89.25619835,,
3,AK,2015,February,12 month-ending,Alaska,,,,,,,"4,084",127,,88.97637795,,
4,AK,2015,January,12 month-ending,Alaska,,,,,,,"4,034",126,,89.68253968,,
5,AK,2015,July,12 month-ending,Alaska,,,,,,,"4,220",117,,87.17948718,,
6,AK,2015,June,12 month-ending,Alaska,,,,,,,"4,201",121,,86.7768595,,
7,AK,2015,March,12 month-ending,Alaska,,,,,,,"4,101",125,,88.8,,
8,AK,2015,May,12 month-ending,Alaska,,,,,,,"4,196",125,,86.4,,
9,AK,2015,November,12 month-ending,Alaska,,34,10,48,54,64,"4,219",115,79,90.43478261,26,15
10,AK,2015,October,12 month-ending,Alaska,,39,10,49,55,66,"4,241",120,86,90,27,17
11,AK,2015,September,12 month-ending,Alaska,,,,,,,"4,242",125,,88,,
12,AK,2016,April,12 month-ending,Alaska,11,40,18,60,68,75,"4,262",132,95,93.93939394,35,11
13,AK,2016,August,12 month-ending,Alaska,12,39,19,55,64,72,"4,276",138,100,96.37681159,41,12
14,AK,2016,December,12 month-ending,Alaska,15,49,14,46,53,59,"4,355",129,96,99.2248062,53,
15,AK,2016,February,12 month-ending,Alaska,,37,15,61,68,76,"4,198",128,91,91.40625,31,12
16,AK,2016,January,12 month-ending,Alaska,,35,13,60,66,75,"4,213",126,90,90.47619048,27,13
17,AK,2016,July,12 month-ending,Alaska,13,42,21,60,70,78,"4,269",143,107,96.5034965,39,13
18,AK,2016,June,12 month-ending,Alaska,11,40,20,60,69,76,"4,261",138,102,97.10144928,37,12
19,AK,2016,March,12 month-ending,Alaska,,38,16,57,64,72,"4,230",125,90,92.8,31,12
20,AK,2016,May,12 month-ending,Alaska,11,44,17,63,70,77,"4,241",140,103,95.71428571,39,11
21,AK,2016,November,12 month-ending,Alaska,15,45,15,51,59,64,"4,289",133,99,97.7443609,45,
22,AK,2016,October,12 month-ending,Alaska,13,38,15,53,60,64,"4,291",131,94,96.94656489,44,
23,AK,2016,September,12 month-ending,Alaska,11,37,17,54,62,68,"4,256",131,96,96.94656489,42,10
24,AK,2017,April,12 month-ending,Alaska,16,43,,30,35,44,"4,325",117,78,97.43589744,52,12
25,AK,2017,August,12 month-ending,Alaska,21,46,,44,48,68,"4,234",137,99,97.08029197,64,29
26,AK,2017,December,12 month-ending,Alaska,18,36,,46,50,75,"4,279",141,100,97.16312057,64,37
27,AK,2017,February,12 month-ending,Alaska,18,49,,36,42,50,"4,347",124,90,98.38709677,54,11
28,AK,2017,January,12 month-ending,Alaska,15,50,11,40,47,54,"4,374",126,93,99.20634921,55,10
29,AK,2017,July,12 month-ending,Alaska,20,44,,40,44,63,"4,236",128,91,97.65625,59,27
30,AK,2017,June,12 month-ending,Alaska,20,42,,35,40,57,"4,276",122,85,96.72131148,54,24
31,AK,2017,March,12 month-ending,Alaska,19,47,,35,41,49,"4,359",126,87,98.41269841,55,11
32,AK,2017,May,12 month-ending,Alaska,18,40,10,32,39,53,"4,277",120,81,96.66666667,52,21
33,AK,2017,November,12 month-ending,Alaska,17,38,,43,47,70,"4,308",138,97,97.10144928,67,33
34,AK,2017,October,12 month-ending,Alaska,20,46,,45,49,72,"4,283",144,103,97.22222222,70,33
35,AK,2017,September,12 month-ending,Alaska,22,46,,48,52,74,"4,299",148,106,97.2972973,68,32
36,AK,2018,April,12 month-ending,Alaska,15,36,11,48,55,80,"4,340",142,102,98.5915493,61,38
37,AK,2018,August,12 month-ending,Alaska,,24,,37,42,56,"4,383",110,73,100,47,19
38,AK,2018,December,12 month-ending,Alaska,10,28,,33,37,46,"4,333",105,65,100,49,16
39,AK,2018,February,12 month-ending,Alaska,14,37,10,48,54,80,"4,303",139,102,97.84172662,56,38
40,AK,2018,January,12 month-ending,Alaska,16,36,,46,51,77,"4,259",138,100,97.10144928,59,38
41,AK,2018,July,12 month-ending,Alaska,,26,,38,43,59,"4,337",116,76,99.13793103,50,22
42,AK,2018,June,12 month-ending,Alaska,10,31,10,43,48,65,"4,308",125,85,99.2,55,24
43,AK,2018,March,12 month-ending,Alaska,13,35,10,47,53,79,"4,285",136,101,97.79411765,56,38
44,AK,2018,May,12 month-ending,Alaska,12,33,,43,48,67,"4,351",126,88,99.20634921,55,27
45,AK,2018,November,12 month-ending,Alaska,10,28,,34,38,50,"4,333",106,68,100,48,19
46,AK,2018,October,12 month-ending,Alaska,,24,,31,36,48,"4,309",99,65,100,42,18
47,AK,2018,September,12 month-ending,Alaska,,24,,31,36,48,"4,324",100,65,100,44,16
48,AK,2019,April,12 month-ending,Alaska,10,35,,44,45,55,"4,405",119,78,100,58,19
49,AK,2019,August,12 month-ending,Alaska,12,43,,40,42,50,"4,457",130,78,98.46153846,65,20
50,AK,2019,December,12 month-ending,Alaska,,45,,41,46,60,"4,528",133,83,96.2406015,64,23
51,AK,2019,February,12 month-ending,Alaska,11,31,,40,42,51,"4,386",115,71,100,58,16
52,AK,2019,January,12 month-ending,Alaska,10,27,10,37,40,48,"4,357",107,65,100,51,14
53,AK,2019,July,12 month-ending,Alaska,13,43,,43,45,53,"4,475",135,83,98.51851852,66,19
54,AK,2019,June,12 month-ending,Alaska,12,40,,41,43,53,"4,517",132,81,98.48484848,65,20
55,AK,2019,March,12 month-ending,Alaska,12,35,,45,47,57,"4,441",124,79,100,62,20
56,AK,2019,May,12 month-ending,Alaska,12,37,,44,45,55,"4,460",128,80,100,65,20
57,AK,2019,November,12 month-ending,Alaska,,47,10,43,48,62,"4,503",139,88,97.12230216,65,25
58,AK,2019,October,12 month-ending,Alaska,12,49,10,44,48,63,"4,482",146,92,97.26027397,69,27
59,AK,2019,September,12 month-ending,Alaska,12,44,,40,43,55,"4,473",136,84,97.79411765,64,24
60,AK,2020,April,12 month-ending,Alaska,10,34,,30,36,57,"4,510",120,74,94.16666667,56,31
61,AK,2020,August,12 month-ending,Alaska,13,39,10,38,46,83,"4,661",139,98,94.24460432,69,53
62,AK,2020,December,12 month-ending,Alaska,21,31,,37,44,88,"5,008",146,102,94.52054795,67,61
63,AK,2020,February,12 month-ending,Alaska,,36,,34,40,53,"4,546",125,73,95.2,60,24
64,AK,2020,January,12 month-ending,Alaska,,43,,38,44,56,"4,545",134,80,95.52238806,65,24
65,AK,2020,July,12 month-ending,Alaska,13,39,,37,44,76,"4,604",135,93,94.81481481,69,48
66,AK,2020,June,12 month-ending,Alaska,12,41,,37,44,72,"4,499",132,91,96.21212121,66,44
67,AK,2020,March,12 month-ending,Alaska,,34,,29,35,51,"4,495",117,69,94.87179487,55,25
68,AK,2020,May,12 month-ending,Alaska,10,37,,32,38,65,"4,507",128,84,94.53125,59,38
69,AK,2020,November,12 month-ending,Alaska,18,27,,36,44,81,"4,910",141,92,93.61702128,70,53
70,AK,2020,October,12 month-ending,Alaska,15,27,,35,43,76,"4,816",134,86,93.28358209,69,48
71,AK,2020,September,12 month-ending,Alaska,13,36,,40,47,81,"4,723",140,93,94.28571429,75,51
72,AK,2021,April,12 month-ending,Alaska,19,49,11,50,58,117,"5,182",178,134,96.62921348,94,84
73,AK,2021,August,12 month-ending,Alaska,18,60,12,64,71,149,"5,473",218,168,98.16513761,121,119
74,AK,2021,December,12 month-ending,Alaska,11,66,12,74,81,179,"6,076",255,198,99.60784314,160,150
75,AK,2021,February,12 month-ending,Alaska,21,35,,38,45,97,"5,061",152,111,95.39473684,70,69
76,AK,2021,January,12 month-ending,Alaska,20,34,,36,43,95,"5,059",145,108,95.17241379,66,67
77,AK,2021,July,12 month-ending,Alaska,17,58,13,59,67,142,"5,308",202,159,97.52475248,110,110
78,AK,2021,June,12 month-ending,Alaska,17,58,12,54,62,134,"5,273",193,150,96.37305699,105,103
79,AK,2021,March,12 month-ending,Alaska,20,44,10,47,55,111,"5,125",171,127,95.90643275,86,79
80,AK,2021,May,12 month-ending,Alaska,18,59,14,56,65,131,"5,229",188,147,96.27659574,101,99
81,AK,2021,November,12 month-ending,Alaska,14,71,10,74,79,181,"6,035",253,203,99.60474308,153,151
82,AK,2021,October,12 month-ending,Alaska,17,67,11,72,78,172,"5,944",238,194,99.57983193,138,142
83,AK,2021,September,12 month-ending,Alaska,18,62,12,68,75,159,"5,693",223,179,98.65470852,124,127
84,AK,2022,April,12 month-ending,Alaska,,59,,68,73,178,"6,216",257,194,99.61089494,162,154
85,AK,2022,August,12 month-ending,Alaska,10,49,,57,61,176,"6,168",249,186,100,153,149
86,AK,2022,December,12 month-ending,Alaska,21,40,10,49,55,179,"5,550",247,185,99.1902834,140,156
87,AK,2022,February,12 month-ending,Alaska,10,64,11,74,80,179,"6,190",257,197,99.61089494,164,152
88,AK,2022,January,12 month-ending,Alaska,10,64,11,75,81,174,"6,122",253,193,99.60474308,162,146
89,AK,2022,July,12 month-ending,Alaska,,48,,61,65,173,"6,297",255,184,100,159,148
90,AK,2022,June,12 month-ending,Alaska,10,47,,65,69,173,"6,271",256,185,100,158,147
91,AK,2022,March,12 month-ending,Alaska,,62,,70,75,181,"6,217",257,198,99.61089494,163,156
92,AK,2022,May,12 month-ending,Alaska,,48,,59,63,166,"6,215",246,180,100,158,142
93,AK,2022,November,12 month-ending,Alaska,16,40,,49,54,162,"5,564",231,169,99.13419913,133,140
94,AK,2022,October,12 month-ending,Alaska,13,45,,52,55,165,"5,715",240,173,99.16666667,142,141
95,AK,2022,September,12 month-ending,Alaska,10,49,,55,59,173,"5,969",245,183,100,151,149
96,AK,2023,April,12 month-ending,Alaska,24,31,16,50,61,203,"5,545",275,209,98.90909091,150,179
97,AK,2023,August,12 month-ending,Alaska,31,20,15,41,51,220,"5,426",297,224,98.65319865,160,204
98,AK,2023,December,12 month-ending,Alaska,31,16,14,34,47,283,"5,452",357,286,99.43977591,198,270
99,AK,2023,February,12 month-ending,Alaska,21,40,16,49,60,201,"5,520",275,208,99.27272727,155,176
100,AK,2023,January,12 month-ending,Alaska,22,39,12,48,55,193,"5,533",269,200,99.25650558,149,170
101,AK,2023,July,12 month-ending,Alaska,29,25,15,42,52,218,"5,441",288,223,98.95833333,155,201
102,AK,2023,June,12 month-ending,Alaska,28,26,15,43,53,214,"5,513",287,219,98.95470383,153,195
103,AK,2023,March,12 month-ending,Alaska,22,33,16,48,59,193,"5,514",264,198,99.24242424,147,170
104,AK,2023,May,12 month-ending,Alaska,27,29,16,52,63,216,"5,550",288,221,98.95833333,150,193
105,AK,2023,November,12 month-ending,Alaska,30,17,17,36,51,265,"5,498",336,268,99.4047619,183,250
