Image,Category,Description,Sold as,Results,Fentanyl & Benzodiazepine Test,Notes,Location,Date
https://getyourdrugstested.com/wp-content/uploads/2022/01/GYDT-Smile-Element.png,Opioid,Pink Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample contains multiple central nervous system depressants and carries a high risk of causing a complex overdose that is only partially reversible by naloxone.,"Vancouver, BC",02/21/2025
https://getyourdrugstested.com/wp-content/uploads/2025/02/G1638-1.jpg,Opioid,White Chunk,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: This sample presents the risk of a complex overdose that won't full resopond to naloxone due to the presence of two types of fentanyl and a significant quantity of etizolam.,"Vancouver, BC",02/16/2025
https://getyourdrugstested.com/wp-content/uploads/2025/02/G1632.jpg,Opioid,Pink Pebble,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: The majority of the sample was erythritol and caffeine with fentanyl and para-fluorofentanyl appearing to be similar amounts. Xylazine appeared to be present in a small amount. The uncertain match was too small to confirm but shared similarities to multiple precursors and solvents.,"Vancouver, BC",02/16/2025
https://getyourdrugstested.com/wp-content/uploads/2025/01/G0320.jpg,Opioid,Light Grey Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: The fentanyl content in this sample is about 40-50% and the xylazine content is about 30-45%,"Vancouver, BC",01/03/2025
https://getyourdrugstested.com/wp-content/uploads/2025/01/G0319.jpg,Opioid,Light Purple Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: The fentanyl content in this sample is estimated at 50-60% and the Xylazine content at 25-35%,"Vancouver, BC",01/03/2025
https://getyourdrugstested.com/wp-content/uploads/2024/12/G3147.jpg,Opioid,White Chunk,Sold as: Oxycodone,,Fentanyl: PositiveBenzodiazepine: Positive,Notes: We were unable to identify oxycodone in this sample. This sample is risky due to the presence of para-flourofentanyl and a benzodiazepine. This sample presents a risk of a complex overdose that won't fully respond to naloxone.,"Vancouver, BC",12/31/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G3149.jpg,Depressant,White Chunk,Sold as: Alprazolam,,Fentanyl: PositiveBenzodiazepine: Positive,"Notes: The uncertain match shares similarities with multiple benzodiazepines. Due to the presence of fentanyl and a visible quantity of benzodiazepine, this sample presents the risk of a complex overdose that won't fully respond to naloxone.","Vancouver, BC",12/31/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/M2415.jpg,Stimulant,Yellow Powder Code:  Jimbo007,Sold as: Cocaine,,Fentanyl: NegativeBenzodiazepine: Positive,Notes: The estimated cocaine content of this sample is likely between 60-80%. Because we saw the bromazolam on the FTIR spectrometer this represents a large quantity of benzodiazepines. Harm reduction practices are strongly recommended when using this sample. Specifically starting with a very small test dose and wait a while before re-dosing.,"Montreal, QC",12/24/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G2304.jpg,Opioid,Blue Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Positive,"Notes: Due to the presence of fentanyl, benzodiazepine, and xylazine this sample presents a risk of a complex overdose that won't fully respond to naloxone.","Vancouver, BC",12/23/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G2305.jpg,Opioid,Dark Red Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Positive,"Notes:  	Due to the presence of fentanyl, benzodiazepine, and xylazine this sample presents a risk of a complex overdose that won't fully respond to naloxone.","Vancouver, BC",12/23/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G2260-1.jpg,Opioid,White Chunk,Sold as: Hydromorphone,,Fentanyl: NegativeBenzodiazepine: Positive,Notes:,"Vancouver, BC",12/22/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G1220.jpg,Opioid,Dark Blue Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Positive,"Notes: The uncertain match shares similarities with various benzodiazepines, but could not be confirmed. This sample reportedly induced seizure-like symptoms.","Vancouver, BC",12/12/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G1018.jpg,Psychedelic,Light Blue Powder,Sold as: MDMA,,Fentanyl: NegativeBenzodiazepine: Positive,"Notes: This ecstasy pill unexpectedly tested positive for benzodiazepines. The uncertain match shares similarities with few benzodiazepines, however we are unable to confirm.","Vancouver, BC",12/10/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G0516.jpg,Opioid,Grey Granules,Sold as: Down,,Fentanyl: PositiveBenzodiazepine: Positive,Notes:  	Combining xylazine with other CNS depressants such as fentanyl or benzodiazepines like bromazolam can cause complex overdoses that do not respond fully to naloxone. A mixture like this could be extremely risky & potentially fatal for an unsuspecting user.,"Vancouver, BC",12/05/2024
https://getyourdrugstested.com/wp-content/uploads/2024/12/G0107.jpg,Opioid,White Tablet,Sold as: Hydromorphone,,Fentanyl: NegativeBenzodiazepine: Positive,Notes: Imprint:Pd/8. We were unable to detect hydromorphone in this sample. The lack of hydromorphone and the presence of a benzodiazepine make this sample risky and could provoke an overdose that won't respond to naloxone.,"Nelson, BC",12/01/2024
https://getyourdrugstested.com/wp-content/uploads/2024/11/G2606.jpg,Unknown,White Powder,Sold as: Unknown,,Fentanyl: PositiveBenzodiazepine: Positive,Notes: This client tried the sample suspecting it to be cocaine. We were unable to assign percentages to this sample,"Vancouver, BC",11/26/2024
https://getyourdrugstested.com/wp-content/uploads/2024/11/G2517.jpg,Opioid,Light Blue Pressed Pill,Sold as: Oxycodone,,Fentanyl: PositiveBenzodiazepine: Negative,Notes: This sample has a high risk of overdose due to the presence of both fentanyl and xylazine in place of oxycodone. Imprint: M/30. We were unable to detect oxycodone in this sample. Unable to provide percentages due to being a complex mixture.,"Vancouver, BC",11/25/2024
https://getyourdrugstested.com/wp-content/uploads/2024/11/G1026.jpg,Unknown,Purple Chunk,Sold as: Unknown,"Xylazine:15-20%, Fentanyl:10-15%",Fentanyl: PositiveBenzodiazepine: Positive,Notes:,"Vancouver, BC",11/10/2024
https://getyourdrugstested.com/wp-content/uploads/2024/10/G3103.jpg,Depressant,White Tablet,Sold as: Alprazolam,,Fentanyl: NegativeBenzodiazepine: Negative,Notes: Imprint: XANAX. Xylazine is a veterinary sedative with depressant effects. It is not formulated for human use and is not reversible by nalaxone. The uncertain match may be a part of the oil but we could not confirm.,"Vancouver, BC",10/31/2024
https://getyourdrugstested.com/wp-content/uploads/2024/10/G2428.jpg,Stimulant,White Granules,Sold as: Cocaine Base,"Cocaine Base:75-80%, Xylazine:20-25%",Fentanyl: NegativeBenzodiazepine: Negative,Notes: Xylazine is a veterinary sedative with depressant effects. It is not formulated for human use and when used as intended requires a reversal agent. Combining this with other depressants can cause complex overdose situations as xylazine does not respond to naloxone.,"Vancouver, BC",10/24/2024
https://getyourdrugstested.com/wp-content/uploads/2024/10/G2413.jpg,Stimulant,White Pebble,Sold as: Cocaine Base,"Cocaine Base:80-85%, Xylazine:15-20%",Fentanyl: NegativeBenzodiazepine: Negative,Notes: Xylazine is a veterinary sedative with depressant effects. It is not formulated for human use and when used as intended requires a reversal agent. Combining this with other depressants can cause complex overdose situations as xylazine does not respond to naloxone.,"Vancouver, BC",10/24/2024
https://getyourdrugstested.com/wp-content/uploads/2024/10/G1606.jpg,Psychedelic,White Powder Code:  soprano,Sold as: 2C-B,,Fentanyl: PositiveBenzodiazepine: Negative,"Notes: This sample unexpectedly tested positive by fentanyl test strip. If you suspect that there was a cross-contamination in a process of bring in the sample, please give us a call.","Vancouver, BC",10/16/2024
https://getyourdrugstested.com/wp-content/uploads/2024/10/G1128.jpg,Opioid,White Powder,Sold as: Fentanyl,"Medetomidine:N/A, Uncertain Carbohydrate:N/A, Uncertain Match:N/A",Fentanyl: NegativeBenzodiazepine: Negative,Notes: Medetomidine is a veterinary anesthetic drug with potent sedative effects and emerging illicit drug adulterant.,"Vancouver, BC",10/11/2024
https://getyourdrugstested.com/wp-content/uploads/2024/09/G2930.jpg,Opioid,Light Blue Tablet,Sold as: Oxycodone,"Microcrystalline Cellulose:N/A, Fentanyl:N/A, Uncertain Oil:N/A, Uncertain Match:N/A, Xylazine:N/A",Fentanyl: PositiveBenzodiazepine: Negative,Notes: Imprint: M / 30 ; It is unclear what this this uncertain match may be as it is too small to match with anything in our reference database.,"Vancouver, BC",09/29/2024
https://getyourdrugstested.com/wp-content/uploads/2024/09/G2929.jpg,Opioid,Green Tablet,Sold as: Oxycodone,"Microcrystalline Cellulose:75-80%, N-Propionyl Para-Fluoronorfentanyl Base:10-15%, Bromazolam:5-10%",Fentanyl: NegativeBenzodiazepine: Positive,Notes: Imprint: OCD 80 / APO,"Vancouver, BC",09/29/2024
https://getyourdrugstested.com/wp-content/uploads/2024/09/G2747.jpg,Opioid,White Powder Code:  puma,Sold as: Heroin,"Inositol:70-75%, Fentanyl:25-30%",Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Vancouver, BC",09/27/2024
https://getyourdrugstested.com/wp-content/uploads/2024/09/G2231.jpg,Unknown,White Tablet Code:  ferrari,Sold as: Unknown,"Microcrystalline Cellulose:N/A, Fentanyl:N/A, Ortho-Methylfentanyl:N/A",Fentanyl: PositiveBenzodiazepine: Negative,"Notes: Imprint: TEC ; Unfortunately we were unable to obtain a reliable quantitative analysis; however, the total fentanyl and ortho-methylfentanyl amount could be between 10-30%. This is much higher than average of what we see in what appears to be an illegitimate  ""percocet"" pill.","Vancouver, BC",09/22/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G2810.jpg,Depressant,White Pressed Pill Code:  peanut333,Sold as: Alprazolam,"Microcrystalline Cellulose:80-85%, Xylazine:10-15%, Uncertain Oil:5-10%",Fentanyl: NegativeBenzodiazepine: Positive,"Notes: Imprint: XANAX / 2 ; Xylazine is a veterinary sedative with depressant effects. It is not formulated for human use and when used as intended requires a reversal agent. Combining this with other depressants can cause complex overdose situations as xylazine does not respond to naloxone. We were unable to detect & confirm the presence of alprazolam or other benzodiazepines by our spectrometer, however it tested positive for test strip meaning it is below our detection limit of 5%.","Vancouver, BC",08/28/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G2612.jpg,Opioid,Light Blue Tablet,Sold as: Oxycodone,"Microcrystalline Cellulose:N/A, Uncertain Match:N/A, Uncertain Oil:N/A",Fentanyl: NegativeBenzodiazepine: Negative,"Notes: Imprint: A215 ; The uncertain match in this sample shares similarities with multiple nitazenes, potent synthetic opioids from a drug class known as benzimidazole-opioids. Nitazenes can range in potency with some being similar in potency to 10+ times the potency of fentanyl, which could present a significant risk of overdose and/or death and should be consumed with extreme caution. Nitazenes also typically test negative by fentanyl test stripes. Start with a small test dose and try not to use it alone, if possible. Naloxone can be effective at reversing nitazene overdoses, however multiple doses may be required.","Vancouver, BC",08/26/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G2139.jpg,Stimulant,Grey Granules,Sold as: Cocaine Base,"Cocaine Base:80-85%, Xylazine:15-20%",Fentanyl: NegativeBenzodiazepine: Negative,Notes: Xylazine is a veterinary sedative with depressant effects. It is not formulated for human use and when used as intended requires a reversal agent. Combining this with other depressants can cause complex overdose situations as xylazine does not respond to naloxone.,"Vancouver, BC",08/21/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G2014.jpg,Opioid,White Pressed Pill,Sold as: Acetaminophen and Oxycodone,"Microcrystalline Cellulose:N/A, Uncertain Oil:N/A, Uncertain Match:N/A",Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Vancouver, BC",08/20/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G2011.jpg,Opioid,White Powder,Sold as: Down,,Fentanyl: NegativeBenzodiazepine: Positive,"Notes: Desalkylgidazepam is a novel benzodiazepine drug that was introduced into clinical practice in Russia in 1997. It is an active metabolite of the atypical benzodiazepine gidazepam. It acts as an anxiolytic, and is structurally related to the drug bromazepam.","Vancouver, BC",08/20/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G0625.jpg,Depressant,Dark Grey Granules,Sold as: Benzodiazepine (Unknown),"Caffeine:45-50%, Erythritol:15-20%, Fentanyl:10-15%, Xylazine:10-15%, Bromazolam:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample may cause a very complex overdose considering the higher than average percentages of active ingredients.,"Vancouver, BC",08/06/2024
https://getyourdrugstested.com/wp-content/uploads/2024/08/G0529.jpg,Opioid,Light Orange Powder,Sold as: Fentanyl,,Fentanyl: PositiveBenzodiazepine: Positive,Notes: This sample was sold as fentanyl but is almost entirely bromazolam.,"Vancouver, BC",08/05/2024
https://getyourdrugstested.com/wp-content/uploads/2024/07/M2807.jpg,Depressant,Orange Pressed Pill Code:  REAP WHAT YOU SOW,Sold as: Clonazepam,"Caffeine:30-35%, Uncertain Carbohydrate:30-35%, Microcrystalline Cellulose:25-30%, Uncertain Oil:5-10%",Fentanyl: PositiveBenzodiazepine: Negative,Notes:,"Moncton, NB",07/28/2024
https://getyourdrugstested.com/wp-content/uploads/2024/07/G1819.jpg,Psychedelic,Colourless Crystal,Sold as: Ketamine,,Fentanyl: Negative,Notes: Sample had been consumed and was reported to have caused panic attacks.,"Vancouver, BC",07/18/2024
https://getyourdrugstested.com/wp-content/uploads/2024/07/G1325.jpg,Stimulant,White Pebble Code:  superman,Sold as: Cocaine Base,"Cocaine Base:90-95%, Uncertain Match:5-10%",Fentanyl: PositiveBenzodiazepine: Negative,Notes: This sample appears to contain fentanyl or a fentanyl analog in an amount below our machine's 5% detection threshold. This sample was reported to have caused an overdose.,"Vancouver, BC",07/13/2024
https://getyourdrugstested.com/wp-content/uploads/2024/07/G0722.jpg,Stimulant,Brown Granules,Sold as: Cocaine Base,"Cocaine Base:85-90%, Caffeine:5-10%, Erythritol:5-10%",Fentanyl: PositiveBenzodiazepine: Positive,"Notes: This sample was unexpectedly positive for fentanyl and/or fentanyl analogues and positive for benzodiazepines on the test strips. Consuming fentanyl and benzos, especially when unaware, may lead to a complex overdose.","Vancouver, BC",07/07/2024
https://getyourdrugstested.com/wp-content/uploads/2024/06/G1128.jpg,Polysubstance,Light Blue Granules,Sold as: Tucci,"Ketamine:50-55%, MDA:15-20%, Uncertain Carbohydrate:15-20%, Acetaminophen:10-15%",Fentanyl: NegativeBenzodiazepine: Positive,Notes: Unexpected benzodiazepines detected. The presence of benzodiazepines in this saqmple has the potential to cause a complex overdose.  This sample of tucci is a colour that we haven't seen before. Tucci is usually bright pink.,"Vancouver, BC",06/11/2024
